word,value,Descriptor
Afghan Hound,dog,noun
Akita,dog,noun
Alaskan Malamute,dog,noun
Foxhound,dog,noun
Anatolian Sheepdog,dog,noun
Australian Cattle Dog,dog,noun
Australian Shepherd,dog,noun
Basenji,dog,noun
Basset Hound,dog,noun
Beagle,dog,noun
Beauceron,dog,noun
Bernese Mountain Dog,dog,noun
Bichon Frise,dog,noun
Bloodhound,dog,noun
Border Collie,dog,noun
Borzoi,dog,noun
Boxer,dog,noun
Briard,dog,noun
Bull Dog,dog,noun
Bullmastiff,dog,noun
Canaan Dog,dog,noun
Cavalier King Charles Spaniel,dog,noun
Chihuahua,dog,noun
Chinese Shar Pei,dog,noun
Chow Chow,dog,noun
Spaniel,dog,noun
Cocker,dog,noun
Collie,dog,noun
Corgi,dog,noun
Coton de Tulear,dog,noun
Dachshund,dog,noun
Dalmatian,dog,noun
Deerhound,dog,noun
Doberman,dog,noun
Finnish Spitz,dog,noun
Fox Terrier,dog,noun
French Bulldog,dog,noun
German Shepherd Dog,dog,noun
Golden Retriever,dog,noun
Great Dane,dog,noun
Great Pyrenees,dog,noun
Greyhound,dog,noun
Harrier,dog,noun
Ibizan Hound,dog,noun
Irish Wolfhound,dog,noun
Italian Greyhound,dog,noun
Keeshond,dog,noun
Komondor,dog,noun
Kuvasz,dog,noun
Labrador,dog,noun
Maltese,dog,noun
Mastiff,dog,noun
Neopolitan Mastiff,dog,noun
Norwegian Elkhound,dog,noun
Otter Hound,dog,noun
Papillon,dog,noun
Pharaoh Hound,dog,noun
Pinscher,dog,noun
Pointer,dog,noun
Polish Lowland Sheepdog,dog,noun
Pomeranian,dog,noun
Poodle Toy,dog,noun
Pug,dog,noun
Puli,dog,noun
Rottweiler,dog,noun
Saint Bernard,dog,noun
Saluki,dog,noun
Samoyed,dog,noun
Schnauzer,dog,noun
Setter,dog,noun
Shiba Inu,dog,noun
Shih Tzu,dog,noun
Siberian Husky,dog,noun
Spinone Italiano,dog,noun
Terrier,dog,noun
Tibetan Mastiff,dog,noun
Vizsla,dog,noun
Weimaraner,dog,noun
Whippet,dog,noun
Yorkshire Terrier,dog,noun
Abyssinian,cat,noun
Aegean,cat,noun
American Bobtail,cat,noun
Aphrodite Giant,cat,noun
Arabian Mau,cat,noun
Australian Mist,cat,noun
Balinese,cat,noun
Bambino,cat,noun
Bengal,cat,noun
Birman,cat,noun
Bombay,cat,noun
Burmese,cat,noun
Burmilla,cat,noun
California Spangled,cat,noun
Chantilly-Tiffany,cat,noun
Chartreux,cat,noun
Chausie,cat,noun
Colorpoint Persian,cat,noun
Cornish Rex,cat,noun
Cymric,cat,noun
Devon Rex,cat,noun
Dwelf,cat,noun
Egyptian Mau,cat,noun
Exotic Shorthair,cat,noun
Foldex,cat,noun
German Rex,cat,noun
Havana Brown,cat,noun
Highlander,cat,noun
Himalayan,cat,noun
Japanese Bobtail,cat,noun
Javanese,cat,noun
Kanaani,cat,noun
Khao Manee,cat,noun
Kinkalow,cat,noun
Konja,cat,noun
Korat,cat,noun
Korean Bobtail,cat,noun
Kurilian Bobtail,cat,noun
Lambkin,cat,noun
LaPerm,cat,noun
Liebling,cat,noun
Lykoi,cat,noun
Maine Coon,cat,noun
Manx,cat,noun
Mekong Bobtail,cat,noun
Minskin,cat,noun
Minuet,cat,noun
Munchkin,cat,noun
Nebelung,cat,noun
Neva Masquerade,cat,noun
Norwegian Forest Cat,cat,noun
Ocicat,cat,noun
Ojos Azules,cat,noun
Persian,cat,noun
Peterbald,cat,noun
Pixie-bob,cat,noun
Raas,cat,noun
Ragamuffin,cat,noun
Ragdoll,cat,noun
Russian Blue,cat,noun
Russian Tabby,cat,noun
Sam Sawet,cat,noun
Savannah,cat,noun
Scottish Fold,cat,noun
Selkirk Rex,cat,noun
Serengeti,cat,noun
Siamese,cat,noun
Siberian Forest Cat,cat,noun
Singapura,cat,noun
Snowshoe,cat,noun
Sokoke,cat,noun
Somali,cat,noun
Sphynx,cat,noun
Suphalak,cat,noun
Tonkinese,cat,noun
Toybob,cat,noun
Toyger,cat,noun
Turkish Angora,cat,noun
Ukrainian Levkoy,cat,noun
York Chocolate,cat,noun